config D:\Projects\experiments\evolution-simulator\runs/r48-s1/2026-09-24-115115-e5a30c15
mixing 0.02 m2/s (h 0.02), snow cell 1 m, current Transport rms 0.1 m/s
depth  bearing  speed m/s  transport  mouth   c m3/s  own/control at 0.5 s  5 s  20 s  60 s  refill 1/s
    3        0      0.000        off  still      1.6                 0.240  0.057  0.050  0.045       0.076
    3       90      0.032        off  still      0.8                 0.624  0.135  0.118  0.109       0.098
    3      180      0.000        off  still      1.6                 0.241  0.058  0.051  0.045       0.076
    3      270      0.002        off  still      0.8                 0.620  0.115  0.098  0.087       0.077
   10        0      0.028        off  still      1.6                 0.249  0.070  0.062  0.057       0.097
   10       90      0.064        off  still      0.8                 0.624  0.135  0.118  0.109       0.098
   10      180      0.035        off  still      1.6                 0.249  0.070  0.062  0.057       0.098
   10      270      0.010        off  still      0.8                 0.616  0.095  0.079  0.071       0.061
    3        0      0.000        off  drifts     1.6                 0.240  0.057  0.050  0.045       0.076
    3       90      0.032        off  drifts     0.8                 0.624  0.135  0.527  0.118       0.107
    3      180      0.000        off  drifts     1.6                 0.241  0.058  0.051  0.045       0.076
    3      270      0.002        off  drifts     0.8                 0.620  0.115  0.523  0.106       0.095
   10        0      0.028        off  drifts     1.6                 0.249  0.070  0.061  0.057       0.097
   10       90      0.064        off  drifts     0.8                 0.624  0.135  0.115  0.241       0.254
   10      180      0.035        off  drifts     1.6                 0.992  0.064  0.088  0.075       0.130
   10      270      0.010        off  drifts     0.8                 0.616  0.095  0.079  0.069       0.060
-- transport off: 48 s
    3        0      0.000        on   still      1.6                 0.240  0.057  0.051  0.046       0.077
    3       90      0.032        on   still      0.8                 0.633  0.182  0.192  0.252       0.270
    3      180      0.000        on   still      1.6                 0.242  0.059  0.052  0.050       0.084
    3      270      0.002        on   still      0.8                 0.621  0.116  0.098  0.090       0.079
   10        0      0.028        on   still      1.6                 0.260  0.080  0.078  0.107       0.192
   10       90      0.064        on   still      0.8                 0.638  0.187  0.140  0.204       0.204
   10      180      0.035        on   still      1.6                 0.261  0.079  0.095  0.124       0.228
   10      270      0.010        on   still      0.8                 0.621  0.115  0.101  0.100       0.089
    3        0      0.000        on   drifts     1.6                 0.240  0.057  0.051  0.046       0.077
    3       90      0.032        on   drifts     0.8                 0.633  0.182  0.435  0.208       0.209
    3      180      0.000        on   drifts     1.6                 0.242  0.059  0.052  0.050       0.084
    3      270      0.002        on   drifts     0.8                 0.621  0.116  0.525  0.119       0.108
   10        0      0.028        on   drifts     1.6                 0.260  0.080  0.072  0.076       0.132
   10       90      0.064        on   drifts     0.8                 0.638  0.187  0.133  0.215       0.219
   10      180      0.035        on   drifts     1.6                 0.991  0.080  0.092  0.281       0.627
   10      270      0.010        on   drifts     0.8                 0.621  0.115  0.101  0.097       0.086
-- transport on: 534 s
