# runs\r48-s3\2026-09-24-160650-e5a30c15\stats.jsonl 3000 rows
t	alive	births	deaths	abs	absInh	pho	jnt	jntInh	invest	bfrac	age	gestB	gestHeld	uptlim	expo	detJ	matLock	height	stillb	trick	pool	ovl/b	audit	matRes	mspd	spdJ	pace
2500	1165	2879	1766	19	14	1157	712	691	0.5505	0.8428	1244	773	1.563e+04	0.868	0.982	3.157e+05	2023	-3.279	84	0	0	0.265	4.882e-06	1.17e-06	0.0785	0.0528	
5000	1057	4116	3186	25	15	1032	597	578	0.6205	0.909	1635	1000	1.001e+04	0.8792	1.001	2.909e+05	1588	-3.457	135	75	11	0.096	3.445e-06	1.474e-06	0.0352	0.02879	2.38
7500	1276	5657	4588	9	1	1267	590	573	0.6746	0.9338	1587	1197	9780	0.8042	1.001	2.831e+05	1679	-4.441	188	155	19	0.058	-1.114e-06	1.201e-06	0.1001	0.08906	2.38
10000	1764	7790	6316	9	0	1759	641	620	0.6667	0.9552	1563	1454	1.411e+04	0.8149	1.032	2.805e+05	1984	-4.947	275	238	24	0.036	1.455e-07	1.099e-06	0.0412	0.04946	2.18
12500	2481	10338	8238	18	9	2473	608	571	0.6259	0.9699	1672	1685	1.504e+04	0.8537	1.105	2.93e+05	2316	-5.062	383	329	29	2.254	-1.876e-05	1.37e-06	0.05945	0.06072	1.59
15000	3496	13996	10944	12	8	3492	388	355	0.5949	0.979	1751	1942	1.491e+04	0.804	1.217	3.193e+05	2490	-6.182	516	392	37	2.159	-1.347e-05	9.941e-07	0.05923	0.04578	1.50
17500	4704	18969	14813	25	14	4697	250	212	0.6326	0.9846	1682	2255	1.883e+04	0.7442	1.323	3.436e+05	2846	-8.101	694	496	52	7.647	-7.683e-07	7.543e-07	0.06533	0.06768	1.01
20000	5426	25332	20530	20	16	5425	60	52	0.6428	0.9885	1835	2545	1.817e+04	0.721	1.434	3.822e+05	3027	-9.181	858	572	54	3.09	1.812e-05	6.525e-07	0.09126	0.06482	0.81
22500	6283	32041	26468	24	12	6279	8	0	0.6614	0.9932	1907	2775	1.866e+04	0.7352	1.485	4.022e+05	3439	-9.518	1099	658	63	5.52	3.505e-05	6.22e-07	0.06001	0.04903	1.12
25000	6470	38611	32934	19	9	6467	6	0	0.6642	0.9947	2070	2974	1.777e+04	0.742	1.521	4.246e+05	3327	-9.272	1372	741	67	3.673	8.233e-05	5.757e-07	0.03804	0.02902	0.83
27500	7434	46274	39714	18	8	7432	5	0	0.6209	0.9907	1987	3252	2.236e+04	0.731	1.586	4.314e+05	3606	-10.74	1687	822	77	4.698	0.0001335	4.762e-07	0.05687	0.04392	0.71
30000	8589	55050	47414	29	8	8585	7	0	0.5591	0.9876	2006	3683	2.615e+04	0.7022	1.661	4.468e+05	4142	-11.33	2042	901	84	22.06	0.0002006	6.441e-07	0.09983	0.05015	0.67
