t,x,y,z,qw,qx,qy,qz,q0
0,0,-10,0,1,0,0,0,0
0.1,-0.000028,-9.999886,0,0.999685,0,-0,0.0251,0.090763
0.2,-0.000058,-9.999445,0,0.998552,0,-0,0.053787,0.194498
0.3,-0.000084,-9.998799,0,0.996918,0,0,0.078446,0.283687
0.4,-0.000104,-9.998165,0,0.995317,0,0,0.096662,0.349578
0.5,-0.000113,-9.997759,0,0.994293,0,0,0.106686,0.385792
0.6,-0.000111,-9.997727,0,0.994202,0,0,0.107527,0.388699
0.7,-0.000096,-9.998086,-0,0.995082,0,0,0.099056,0.357836
0.8,-0.000069,-9.998717,-0,0.996627,0,0,0.082062,0.296111
0.9,-0.000035,-9.999405,-0,0.998305,0,0,0.058194,0.20958
1,0.000002,-9.999925,-0,0.999555,0,0,0.029817,0.106847
1.1,0.000037,-10.000119,-0,1,0,0,-0.000243,-0.001878
1.2,0.000068,-9.999961,-0,0.999579,0,0,-0.029015,-0.105898
1.3,0.000092,-9.999558,-0,0.998557,-0,0,-0.053694,-0.195114
1.4,0.000109,-9.999101,-0,0.997412,-0,0,-0.071903,-0.260933
1.5,0.000117,-9.998793,-0,0.996642,-0,0,-0.081888,-0.296985
1.6,0.000112,-9.998769,-0,0.996577,-0,0,-0.082664,-0.299678
1.7,0.000096,-9.999043,-0,0.997249,-0,0,-0.07412,-0.26861
1.8,0.00007,-9.999504,-0,0.998371,-0,0,-0.057062,-0.206744
1.9,0.000038,-9.999953,-0,0.99945,0,0,-0.033158,-0.120172
2,0.000003,-10.000187,-0,0.999989,0,0,-0.004779,-0.017493
2.1,-0.000031,-10.00008,-0,0.999681,0,0,0.025257,0.091127
2.2,-0.000061,-9.999635,-0,0.998541,0,0,0.053997,0.195053
2.3,-0.000087,-9.998987,-0,0.996902,0,0,0.078655,0.284243
2.4,-0.000107,-9.99835,-0,0.995297,0,0,0.096871,0.350135
2.5,-0.000117,-9.997942,-0,0.99427,0,0,0.106895,0.386351
2.6,-0.000114,-9.997909,-0,0.99418,0,0,0.107736,0.389259
2.7,-0.000099,-9.998267,-0,0.995061,0,0,0.099266,0.358397
2.8,-0.000072,-9.998897,-0,0.99661,0,0,0.082271,0.296674
2.9,-0.000038,-9.999586,-0,0.998293,0,0,0.058404,0.210143
3,-0.000001,-10.000106,-0,0.999549,0,0,0.030027,0.10741
3.1,0.000034,-10.000301,-0,1,0,0,-0.000033,-0.001316
3.2,0.000065,-10.000143,-0,0.999585,0,0,-0.028806,-0.105337
3.3,0.000089,-9.99974,-0,0.998569,0,0,-0.053486,-0.194553
3.4,0.000106,-9.999283,-0,0.997427,0,0,-0.071695,-0.260371
3.5,0.000113,-9.998974,-0,0.996659,0,0,-0.08168,-0.296423
3.6,0.000109,-9.998948,-0,0.996595,0,0,-0.082456,-0.299115
3.7,0.000093,-9.999221,-0,0.997265,0,0,-0.073912,-0.268045
3.8,0.000067,-9.999679,-0,0.998383,0,0,-0.056854,-0.206179
3.9,0.000034,-10.000126,-0,0.999457,0,0,-0.03295,-0.119606
4,-0.000001,-10.000357,-0,0.99999,0,0,-0.004571,-0.016927
4.1,-0.000034,-10.000246,-0,0.999676,0,0,0.025465,0.091691
4.2,-0.000065,-9.999799,-0,0.99853,0,0,0.054204,0.195617
4.3,-0.000091,-9.999147,-0,0.996886,0,0,0.078862,0.284807
4.4,-0.000111,-9.998508,-0,0.995277,0,0,0.097077,0.3507
4.5,-0.000121,-9.998098,-0,0.994248,0,0,0.107101,0.386917
4.6,-0.000118,-9.998064,-0,0.994157,0,0,0.107943,0.389827
4.7,-0.000103,-9.998421,-0,0.99504,0,0,0.099473,0.358966
4.8,-0.000076,-9.999051,-0,0.996593,0,0,0.082479,0.297244
4.9,-0.000042,-9.99974,-0,0.998281,0,0,0.058611,0.210714
5,-0.000005,-10.00026,-0,0.999543,0,0,0.030234,0.10798
5.1,0.00003,-10.000456,-0,1,0,0,0.000174,-0.000746
5.2,0.000061,-10.000299,-0,0.999591,0,0,-0.028599,-0.104768
5.3,0.000085,-9.999896,-0,0.99858,0,0,-0.053279,-0.193984
5.4,0.000102,-9.999438,-0,0.997441,0,0,-0.071489,-0.259802
5.5,0.000109,-9.999129,-0,0.996675,0,0,-0.081474,-0.295853
5.6,0.000105,-9.999103,-0,0.996612,0,0,-0.08225,-0.298543
5.7,0.000089,-9.999374,-0,0.99728,0,0,-0.073705,-0.267473
5.8,0.000063,-9.999829,-0,0.998394,0,0,-0.056647,-0.205606
5.9,0.00003,-10.000273,-0,0.999464,0,0,-0.032743,-0.119033
6,-0.000005,-10.000501,-0,0.99999,0,0,-0.004365,-0.016355
6.1,-0.000038,-10.000387,-0,0.99967,0,0,0.025671,0.092263
6.2,-0.000069,-9.999937,-0,0.998519,0,0,0.054409,0.196188
6.3,-0.000095,-9.999283,-0,0.996869,0,0,0.079067,0.285379
6.4,-0.000115,-9.998641,-0,0.995257,0,0,0.097282,0.351272
6.5,-0.000125,-9.998229,-0,0.994226,0,0,0.107306,0.38749
6.6,-0.000123,-9.998193,-0,0.994135,0,0,0.108148,0.390401
6.7,-0.000107,-9.99855,-0,0.99502,0,0,0.099678,0.359543
6.8,-0.000081,-9.99918,-0,0.996576,0,0,0.082685,0.297821
6.9,-0.000046,-9.999869,-0,0.998269,0,0,0.058817,0.211291
7,-0.000009,-10.00039,-0,0.999537,0,0,0.03044,0.108557
7.1,0.000026,-10.000587,-0,1,0,0,0.000379,-0.00017
7.2,0.000057,-10.000431,-0,0.999597,0,0,-0.028394,-0.104192
7.3,0.000081,-10.000028,-0,0.998591,0,0,-0.053074,-0.193408
7.4,0.000097,-9.99957,-0,0.997456,-0,0,-0.071284,-0.259226
7.5,0.000104,-9.999261,-0,0.996692,-0,0,-0.081269,-0.295276
7.6,0.0001,-9.999233,-0,0.996629,-0,0,-0.082045,-0.297965
7.7,0.000084,-9.999502,-0,0.997295,-0,0,-0.0735,-0.266893
7.8,0.000058,-9.999956,-0,0.998406,-0,0,-0.056442,-0.205026
7.9,0.000026,-10.000397,-0,0.999471,0,0,-0.032538,-0.118453
8,-0.000009,-10.000622,-0,0.999991,0,0,-0.004159,-0.015775
8.1,-0.000043,-10.000505,-0,0.999665,0,0,0.025876,0.092842
8.2,-0.000074,-10.000051,-0,0.998508,0,0,0.054614,0.196767
8.3,-0.0001,-9.999395,-0,0.996853,0,0,0.079271,0.285957
8.4,-0.00012,-9.99875,-0,0.995237,0,0,0.097487,0.351851
8.5,-0.00013,-9.998337,-0,0.994204,0,0,0.107511,0.38807
8.6,-0.000128,-9.9983,-0,0.994113,0,0,0.108352,0.390983
8.7,-0.000112,-9.998656,-0,0.994999,0,0,0.099883,0.360126
8.8,-0.000085,-9.999286,-0,0.996559,0,0,0.08289,0.298406
8.9,-0.000051,-9.999976,-0,0.998257,0,0,0.059023,0.211877
