t,x,y,z,qw,qx,qy,qz,q0
0,0,-10,0,1,0,0,0,0
0.1,-0.000028,-9.999886,0,0.999685,0,0,0.0251,0.090763
0.2,-0.000058,-9.999445,0,0.998553,0,0,0.053787,0.194498
0.3,-0.000084,-9.9988,0,0.996918,0,0,0.078446,0.283687
0.4,-0.000104,-9.998167,0,0.995317,0,0,0.096662,0.349578
0.5,-0.000113,-9.997763,0,0.994293,0,0,0.106686,0.385792
0.6,-0.000111,-9.997731,0,0.994202,0,0,0.107527,0.388699
0.7,-0.000096,-9.998089,0,0.995082,0,0,0.099056,0.357836
0.8,-0.000069,-9.998719,0,0.996627,0,0,0.082062,0.296111
0.9,-0.000035,-9.999409,0,0.998305,0,0,0.058194,0.20958
1,0.000002,-9.999929,0,0.999555,0,0,0.029817,0.106847
1.1,0.000037,-10.00012,0,1,0,0,-0.000242,-0.001878
1.2,0.000068,-9.999966,0,0.999579,0,0,-0.029014,-0.105898
1.3,0.000092,-9.999562,0,0.998557,0,0,-0.053694,-0.195114
1.4,0.000109,-9.999104,0,0.997412,0,0,-0.071903,-0.260933
1.5,0.000117,-9.998797,0,0.996642,0,0,-0.081888,-0.296985
1.6,0.000112,-9.998773,0,0.996578,0,0,-0.082664,-0.299678
1.7,0.000096,-9.999047,0,0.997249,0,0,-0.07412,-0.268609
1.8,0.00007,-9.999507,0,0.998371,0,0,-0.057062,-0.206744
1.9,0.000038,-9.999955,0,0.99945,0,0,-0.033158,-0.120172
2,0.000003,-10.00019,0,0.999989,0,0,-0.004779,-0.017492
2.1,-0.000031,-10.00008,0,0.999681,0,0,0.025257,0.091127
2.2,-0.000061,-9.99964,0,0.998541,0,0,0.053997,0.195053
2.3,-0.000087,-9.998992,0,0.996902,0,0,0.078656,0.284243
2.4,-0.000107,-9.998355,0,0.995297,0,0,0.096872,0.350135
2.5,-0.000117,-9.997948,0,0.99427,0,0,0.106896,0.386351
2.6,-0.000114,-9.997915,0,0.99418,0,0,0.107736,0.389259
2.7,-0.000099,-9.998272,0,0.995061,0,0,0.099266,0.358397
2.8,-0.000072,-9.998902,0,0.99661,0,0,0.082272,0.296674
2.9,-0.000038,-9.999592,0,0.998293,0,0,0.058404,0.210143
3,-0.000001,-10.00011,0,0.999549,0,0,0.030027,0.10741
3.1,0.000034,-10.00031,0,1,0,0,-0.000033,-0.001316
3.2,0.000065,-10.00015,0,0.999585,0,0,-0.028805,-0.105337
3.3,0.000089,-9.999746,0,0.998569,0,0,-0.053485,-0.194553
3.4,0.000106,-9.999289,0,0.997427,0,0,-0.071694,-0.260371
3.5,0.000113,-9.99898,0,0.996659,0,0,-0.081679,-0.296423
3.6,0.000109,-9.998955,0,0.996595,0,0,-0.082456,-0.299115
3.7,0.000093,-9.999228,0,0.997265,0,0,-0.073911,-0.268045
3.8,0.000067,-9.999685,0,0.998383,0,0,-0.056853,-0.206179
3.9,0.000034,-10.00013,0,0.999457,0,0,-0.032949,-0.119606
4,-0.000001,-10.00036,0,0.99999,0,0,-0.00457,-0.016927
4.1,-0.000034,-10.00025,0,0.999676,0,0,0.025465,0.091691
4.2,-0.000065,-9.999803,0,0.99853,0,0,0.054204,0.195617
4.3,-0.000091,-9.99915,0,0.996886,0,0,0.078863,0.284807
4.4,-0.000111,-9.998509,0,0.995277,0,0,0.097078,0.3507
4.5,-0.000121,-9.998099,0,0.994248,0,0,0.107102,0.386917
4.6,-0.000118,-9.998064,0,0.994157,0,0,0.107944,0.389827
4.7,-0.000103,-9.99842,0,0.99504,0,0,0.099474,0.358966
4.8,-0.000076,-9.99905,0,0.996593,0,0,0.08248,0.297244
4.9,-0.000042,-9.999741,0,0.998281,0,0,0.058612,0.210714
5,-0.000005,-10.00026,0,0.999543,0,0,0.030235,0.10798
5.1,0.00003,-10.00046,0,1,0,0,0.000174,-0.000747
5.2,0.000061,-10.0003,0,0.999591,0,0,-0.028598,-0.104768
5.3,0.000085,-9.999897,0,0.99858,0,0,-0.053279,-0.193984
5.4,0.000102,-9.999439,0,0.997442,0,0,-0.071488,-0.259802
5.5,0.000109,-9.999128,0,0.996676,0,0,-0.081473,-0.295853
5.6,0.000105,-9.999102,0,0.996612,0,0,-0.08225,-0.298543
5.7,0.000089,-9.999373,0,0.99728,0,0,-0.073705,-0.267472
5.8,0.000063,-9.999829,0,0.998394,0,0,-0.056647,-0.205606
5.9,0.00003,-10.00027,0,0.999464,0,0,-0.032743,-0.119033
6,-0.000005,-10.0005,0,0.999991,0,0,-0.004364,-0.016355
6.1,-0.000038,-10.00039,0,0.999671,0,0,0.025671,0.092263
6.2,-0.000069,-9.999938,0,0.998519,0,0,0.05441,0.196188
6.3,-0.000095,-9.999284,0,0.996869,0,0,0.079068,0.285379
6.4,-0.000115,-9.998641,0,0.995257,0,0,0.097283,0.351271
6.5,-0.000125,-9.99823,0,0.994226,0,0,0.107307,0.38749
6.6,-0.000123,-9.998194,0,0.994135,0,0,0.108149,0.390401
6.7,-0.000107,-9.998549,0,0.99502,0,0,0.099679,0.359542
6.8,-0.000081,-9.99918,0,0.996576,0,0,0.082686,0.297821
6.9,-0.000046,-9.99987,0,0.998269,0,0,0.058818,0.211291
7,-0.000009,-10.00039,0,0.999537,0,0,0.030441,0.108557
7.1,0.000026,-10.00059,0,1,0,0,0.00038,-0.00017
7.2,0.000057,-10.00043,0,0.999597,0,0,-0.028393,-0.104192
7.3,0.000081,-10.00003,0,0.998591,0,0,-0.053074,-0.193408
7.4,0.000097,-9.99957,0,0.997456,0,0,-0.071284,-0.259226
7.5,0.000104,-9.999259,0,0.996692,0,0,-0.081269,-0.295276
7.6,0.0001,-9.999231,0,0.996629,0,0,-0.082045,-0.297965
7.7,0.000084,-9.999499,0,0.997295,0,0,-0.0735,-0.266893
7.8,0.000058,-9.999954,0,0.998406,0,0,-0.056441,-0.205026
7.9,0.000026,-10.00039,0,0.999471,0,0,-0.032537,-0.118453
8,-0.000009,-10.00062,0,0.999991,0,0,-0.004159,-0.015775
8.1,-0.000043,-10.0005,0,0.999665,0,0,0.025876,0.092842
8.2,-0.000074,-10.00005,0,0.998508,0,0,0.054614,0.196767
8.3,-0.0001,-9.999394,0,0.996853,0,0,0.079272,0.285957
8.4,-0.00012,-9.998752,0,0.995237,0,0,0.097487,0.35185
8.5,-0.00013,-9.998338,0,0.994204,0,0,0.107512,0.38807
8.6,-0.000128,-9.998302,0,0.994113,0,0,0.108353,0.390983
8.7,-0.000112,-9.998657,0,0.994999,0,0,0.099884,0.360126
8.8,-0.000085,-9.999288,0,0.996559,0,0,0.082891,0.298405
8.9,-0.000051,-9.999978,0,0.998257,0,0,0.059024,0.211876
9,-0.000014,-10.0005,0,0.99953,0,0,0.030647,0.109142
9.1,0.000021,-10.0007,0,1,0,0,0.000585,0.000414
9.2,0.000052,-10.00054,0,0.999603,0,0,-0.028188,-0.103609
