t,x,y,z,qw,qx,qy,qz,q0,q1
0,0,-10,0,1,0,0,0,0,0
0.1,0.000774,-9.999861,0,0.999618,0,0,0.02764,0.079083,-0.023018
0.2,0.001963,-9.999213,0,0.997916,0,0,0.064534,0.181626,-0.044891
0.3,0.002696,-9.99817,0,0.995327,0,0,0.09656,0.275855,-0.078375
0.4,0.00273,-9.997074,0,0.992955,0,0,0.118496,0.348809,-0.124906
0.5,0.002037,-9.996264,0,0.991806,0,0,0.127757,0.392522,-0.180971
0.6,0.000675,-9.995932,0,0.992371,0,0,0.123285,0.402369,-0.241257
0.7,-0.001231,-9.996076,0,0.994426,0,0,0.10544,0.377158,-0.2998
0.8,-0.003501,-9.996499,0,0.997111,0,0,0.075954,0.319263,-0.35075
0.9,-0.005909,-9.996905,0,0.999287,0,0,0.037748,0.234413,-0.389079
1,-0.008208,-9.997021,0,0.999986,0,0,-0.005373,0.131097,-0.411113
1.1,-0.010155,-9.996718,0,0.998791,0,0,-0.049156,0.019581,-0.414857
1.2,-0.01155,-9.996077,0,0.995999,0,0,-0.089363,-0.089252,-0.4001
1.3,-0.012265,-9.995337,0,0.992508,0,0,-0.122177,-0.18496,-0.368342
1.4,-0.01225,-9.994824,0,0.989506,0,0,-0.144492,-0.258391,-0.322609
1.5,-0.011524,-9.994811,0,0.98805,0,0,-0.154134,-0.30239,-0.267268
1.6,-0.010154,-9.995418,0,0.988678,0,0,-0.150054,-0.31247,-0.207666
1.7,-0.008256,-9.99655,0,0.99118,0,0,-0.132526,-0.287438,-0.149644
1.8,-0.005994,-9.99791,0,0.994661,0,0,-0.103202,-0.229646,-0.098941
1.9,-0.003577,-9.999103,0,0.997887,0,0,-0.064975,-0.144821,-0.060562
2,-0.001241,-9.999765,0,0.999765,0,0,-0.021693,-0.041483,-0.03827
2.1,0.000768,-9.999718,0,0.999751,0,0,0.022295,0.070057,-0.034232
2.2,0.00224,-9.999011,0,0.998036,0,0,0.06264,0.17887,-0.048852
2.3,0.003027,-9.997901,0,0.995435,0,0,0.095439,0.274484,-0.080762
2.4,0.003066,-9.996742,0,0.993066,0,0,0.117559,0.347743,-0.126949
2.5,0.002367,-9.995868,0,0.991919,0,0,0.126872,0.391521,-0.182938
2.6,0.000996,-9.995471,0,0.992478,0,0,0.122423,0.401376,-0.243209
2.7,-0.00092,-9.995547,0,0.994515,0,0,0.104593,0.376162,-0.301749
2.8,-0.003199,-9.995902,0,0.997175,0,0,0.07512,0.318263,-0.352701
2.9,-0.005617,-9.996236,0,0.999318,0,0,0.036928,0.23341,-0.391032
3,-0.007925,-9.996281,0,0.999981,0,0,-0.006178,0.130093,-0.413068
3.1,-0.009879,-9.995911,0,0.998752,0,0,-0.049944,0.018577,-0.416815
3.2,-0.011281,-9.995202,0,0.99593,0,0,-0.090135,-0.090254,-0.402062
3.3,-0.012001,-9.9944,0,0.992415,0,0,-0.122934,-0.185963,-0.370309
3.4,-0.011991,-9.993829,0,0.989397,0,0,-0.145235,-0.259398,-0.324583
3.5,-0.011271,-9.993759,0,0.987935,0,0,-0.154866,-0.303403,-0.269249
3.6,-0.009907,-9.994315,0,0.988568,0,0,-0.150776,-0.313489,-0.209654
3.7,-0.008015,-9.995399,0,0.991084,0,0,-0.133239,-0.288463,-0.151636
3.8,-0.005759,-9.996714,0,0.994588,0,0,-0.103903,-0.230674,-0.100934
3.9,-0.003348,-9.997861,0,0.997842,0,0,-0.065664,-0.145849,-0.062553
4,-0.001017,-9.998481,0,0.99975,0,0,-0.022367,-0.042508,-0.040256
4.1,0.000989,-9.998389,0,0.999766,0,0,0.021636,0.069036,-0.036212
4.2,0.002457,-9.997636,0,0.998076,0,0,0.061997,0.177851,-0.050827
4.3,0.003241,-9.996477,0,0.995495,0,0,0.09481,0.273465,-0.082734
4.4,0.003276,-9.995266,0,0.993139,0,0,0.116942,0.346721,-0.128919
4.5,0.002573,-9.994334,0,0.991996,0,0,0.126266,0.390493,-0.184908
4.6,0.001199,-9.993878,0,0.992552,0,0,0.121826,0.400342,-0.24518
4.7,-0.000721,-9.993893,0,0.994577,0,0,0.104006,0.375121,-0.303722
4.8,-0.003004,-9.994184,0,0.997218,0,0,0.074543,0.317216,-0.354675
4.9,-0.005426,-9.994456,0,0.999339,0,0,0.036362,0.232359,-0.393009
5,-0.007736,-9.99444,0,0.999977,0,0,-0.006732,0.129042,-0.415048
5.1,-0.009693,-9.99401,0,0.998725,0,0,-0.050485,0.017527,-0.418798
5.2,-0.011097,-9.993242,0,0.995882,0,0,-0.090663,-0.091304,-0.40405
5.3,-0.011819,-9.992384,0,0.992351,0,0,-0.123452,-0.187014,-0.372303
5.4,-0.01181,-9.991758,0,0.989322,0,0,-0.145743,-0.260452,-0.326583
5.5,-0.011092,-9.991641,0,0.987857,0,0,-0.155367,-0.304463,-0.271256
5.6,-0.00973,-9.99215,0,0.988492,0,0,-0.151271,-0.314556,-0.211668
5.7,-0.007839,-9.993193,0,0.991018,0,0,-0.133727,-0.289537,-0.153655
5.8,-0.005585,-9.994467,0,0.994537,0,0,-0.104383,-0.231751,-0.102955
5.9,-0.003174,-9.995574,0,0.997811,0,0,-0.066133,-0.146926,-0.064573
6,-0.000844,-9.996156,0,0.99974,0,0,-0.022823,-0.043582,-0.042271
6.1,0.001161,-9.996023,0,0.999776,0,0,0.021193,0.067965,-0.038222
6.2,0.002629,-9.995229,0,0.998103,0,0,0.061566,0.176783,-0.052831
6.3,0.003412,-9.994024,0,0.995535,0,0,0.094389,0.272397,-0.084735
6.4,0.003447,-9.992765,0,0.993187,0,0,0.11653,0.345649,-0.130918
6.5,0.002743,-9.991786,0,0.992048,0,0,0.125862,0.389416,-0.186907
6.6,0.001368,-9.991278,0,0.9926,0,0,0.12143,0.399258,-0.24718
6.7,-0.000553,-9.991237,0,0.994617,0,0,0.103618,0.37403,-0.305723
6.8,-0.002837,-9.99147,0,0.997246,0,0,0.074163,0.316119,-0.356678
6.9,-0.005259,-9.991686,0,0.999352,0,0,0.035991,0.23126,-0.395014
7,-0.00757,-9.991611,0,0.999975,0,0,-0.007092,0.127941,-0.417056
